Country,srcYear,srcMonth,srcCalendarDay,Type of power generation,Monitored capacity,Capacity under long outage,New capacity under stabilization or completion of balance works,Capacity of power generation from Prime Movers (PM),Capacity of power generation from Fuel Oil (FO),Capacity of power generation from other sources,Total capacity of power generation from all sources,Capacity outage as percent of monitered,Operational capacity of power generation,Gross sum of maximum power generated,Net sum of maximum power generated,Maximum power output as percentage of capacity on line,Percentage of monitered maximum power output,YearCode,Year,MonthCode,Month,DayCode,CalendarDay
India,2017,Sep-2017,05-Sep-2017,Hydro,44753.42,156.4,,63.4,231,176.67,471.07,1.05,44282.35,32649.77,32323.27,72.99,72.23,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017",20170905,2017-09-05
India,2017,Sep-2017,06-Sep-2017,Hydro,44753.42,1142.9,,886.15,1330.27,1905.17,4121.59,9.21,40631.83,32902.77,32573.74,80.17,72.78,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017",20170906,2017-09-06
India,2017,Sep-2017,12-Sep-2017,Thermal_Diesel,837.63,,,0,0,0,0,0,837.63,46.05,45.13,5.39,5.39,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017",20170912,2017-09-12
India,2017,Sep-2017,13-Sep-2017,Thermal_Gas Liquid,25130.88,216,,0,0,216,216,0.86,24914.88,11748.5,11513.53,46.21,45.81,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017",20170913,2017-09-13
India,2017,Sep-2017,13-Sep-2017,Nuclear,6780,,,,,,,,,4035,3570.97,,52.67,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017",20170913,2017-09-13
India,2017,Sep-2017,13-Sep-2017,Hydro,44753.42,156.4,,63.4,165,108,336.4,0.75,44417.02,34725.83,34378.57,77.4,76.82,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017",20170913,2017-09-13
India,2017,Sep-2017,13-Sep-2017,Thermal_Coal Lignite,193276.5,1480,12540,2515,16010,0,18525,9.58,174751.5,141939.21,129164.68,73.91,66.83,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017",20170913,2017-09-13
India,2017,Sep-2017,13-Sep-2017,Thermal_Diesel,837.63,,,,,,,,,46.05,45.13,,5.39,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017",20170913,2017-09-13
India,2017,Sep-2017,14-Sep-2017,Hydro,44753.42,1133.9,,721.15,1221.6,1216,3158.75,7.06,41594.67,33417.93,33083.75,79.54,73.92,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017",20170914,2017-09-14
India,2017,Sep-2017,14-Sep-2017,Thermal_Gas Liquid,25130.88,3472.3,,0,80,9115.36,9195.36,36.59,15935.52,12304.78,12058.68,75.67,47.98,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017",20170914,2017-09-14
India,2017,Sep-2017,14-Sep-2017,Nuclear,6780,540,,1360,1640,0,3000,44.25,3780,4036,3571.86,94.49,52.68,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017",20170914,2017-09-14
India,2023,Oct-2023,31-Oct-2023,Thermal_Lignite,6620.00,250.00,,460.00,1565.00,0.00,2025.00,30.59,4595.00,4453.82,4052.98,88.2,61.22,2023,"Financial Year (Apr - Mar), 2023",202307,"October, 2023",20231031,2023-10-31
India,2023,Nov-2023,01-Nov-2023,Hydro,46850.17,849.00,,2406.25,1970.30,5096.20,9472.75,20.22,37377.42,30858.44,30549.86,81.73,65.21,2023,"Financial Year (Apr - Mar), 2023",202308,"November, 2023",20231101,2023-11-01
India,2023,Nov-2023,01-Nov-2023,Thermal_Lignite,6620.00,250.00,,460.00,1430.00,0.00,1890.00,28.55,4730.00,4636.30,4219.04,89.2,63.73,2023,"Financial Year (Apr - Mar), 2023",202308,"November, 2023",20231101,2023-11-01
India,2023,Nov-2023,01-Nov-2023,Thermal_Diesel,589.20,,,,,,,,589.20,101.05,99.03,16.81,16.81,2023,"Financial Year (Apr - Mar), 2023",202308,"November, 2023",20231101,2023-11-01
India,2023,Nov-2023,01-Nov-2023,Thermal_Coal,206825.50,4741.00,800.00,10157.50,14599.50,3688.50,28445.50,13.75,178380.00,174423.17,158725.08,88.98,76.74,2023,"Financial Year (Apr - Mar), 2023",202308,"November, 2023",20231101,2023-11-01
India,2023,Nov-2023,01-Nov-2023,Thermal_Gas Liquid,25028.21,9512.04,,139.30,6994.59,12146.00,19279.88,77.03,5748.32,5234.67,5129.98,89.24,20.5,2023,"Financial Year (Apr - Mar), 2023",202308,"November, 2023",20231101,2023-11-01
India,2017,Sep-2017,06-Sep-2017,Thermal_Diesel,837.63,,,0,0,0,0,0,837.63,46.05,45.13,5.39,5.39,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017",20170906,2017-09-06
India,2017,Sep-2017,06-Sep-2017,Nuclear,6780,540,,1140,1640,0,2780,41,4000,4285,3792.22,94.81,55.93,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017",20170906,2017-09-06
India,2017,Sep-2017,06-Sep-2017,Thermal_Gas Liquid,25130.88,3472.3,,0,80,9530.36,9610.36,38.24,15520.52,9828.52,9631.95,62.06,38.33,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017",20170906,2017-09-06
India,2017,Sep-2017,06-Sep-2017,Thermal_Coal Lignite,193276.5,5814,12540,10429,52873,0,63302,32.75,129974.5,137119.16,124778.44,96,64.56,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017",20170906,2017-09-06
India,2017,Sep-2017,07-Sep-2017,Thermal_Coal Lignite,193276.5,5814,12540,10479,50613,0,61092,31.61,132184.5,139775.73,127195.91,96.23,65.81,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017",20170907,2017-09-07
India,2017,Sep-2017,07-Sep-2017,Hydro,44753.42,1142.9,,1016.15,1246.6,1261.5,3524.25,7.87,41229.17,32539.17,32213.78,78.13,71.98,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017",20170907,2017-09-07
India,2017,Sep-2017,07-Sep-2017,Thermal_Gas Liquid,25130.88,3472.3,,0,80,9514.54,9594.54,38.18,15536.34,10061.81,9860.57,63.47,39.24,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017",20170907,2017-09-07
India,2017,Sep-2017,07-Sep-2017,Thermal_Diesel,837.63,,,0,0,0,0,0,837.63,46.05,45.13,5.39,5.39,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017",20170907,2017-09-07
India,2017,Sep-2017,07-Sep-2017,Nuclear,6780,540,,1140,1640,0,2780,41,4000,4246,3757.71,93.94,55.42,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017",20170907,2017-09-07
India,2017,Sep-2017,08-Sep-2017,Thermal_Gas Liquid,25130.88,3472.3,,0,80,9729.04,9809.04,39.03,15321.84,11076.79,10855.25,70.85,43.19,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017",20170908,2017-09-08
India,2017,Sep-2017,08-Sep-2017,Nuclear,6780,540,,1140,1640,0,2780,41,4000,4242.81,3754.89,93.87,55.38,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017",20170908,2017-09-08
India,2017,Sep-2017,08-Sep-2017,Hydro,44753.42,1142.9,,836.15,1169.6,1845.5,3851.25,8.61,40902.17,32028.49,31708.21,77.52,70.85,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017",20170908,2017-09-08
India,2017,Sep-2017,08-Sep-2017,Thermal_Diesel,837.63,,,0,0,0,0,0,837.63,46.05,45.13,5.39,5.39,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017",20170908,2017-09-08
India,2017,Sep-2017,08-Sep-2017,Thermal_Coal Lignite,193276.5,5814,12540,10139,50688,0,60827,31.47,132449.5,141644.83,128896.8,97.32,66.69,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017",20170908,2017-09-08
India,2017,Sep-2017,09-Sep-2017,Nuclear,6780,540,,1140,1640,0,2780,41,4000,4242,3754.17,93.85,55.37,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017",20170909,2017-09-09
India,2017,Sep-2017,09-Sep-2017,Thermal_Diesel,837.63,,,0,0,0,0,0,837.63,46.05,45.13,5.39,5.39,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017",20170909,2017-09-09
India,2017,Sep-2017,09-Sep-2017,Hydro,44753.42,1142.9,,851.15,1299.6,1693.5,3844.25,8.59,40909.17,31360.99,31047.38,75.89,69.37,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017",20170909,2017-09-09
India,2017,Sep-2017,09-Sep-2017,Thermal_Gas Liquid,25130.88,3472.3,,0,80,9603.96,9683.96,38.53,15446.92,11136.41,10913.68,70.65,43.43,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017",20170909,2017-09-09
India,2017,Sep-2017,09-Sep-2017,Thermal_Coal Lignite,193276.5,5814,12540,9509,53740.5,0,63249.5,32.72,130027,143942.73,130987.88,100.74,67.77,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017",20170909,2017-09-09
India,2017,Sep-2017,10-Sep-2017,Nuclear,6780,540,,1140,1640,0,2780,41,4000,4240.81,3753.12,93.83,55.36,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017",20170910,2017-09-10
India,2017,Sep-2017,10-Sep-2017,Thermal_Gas Liquid,25130.88,3472.3,,0,80,9120.36,9200.36,36.61,15930.52,10282.73,10077.08,63.26,40.1,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017",20170910,2017-09-10
India,2017,Sep-2017,10-Sep-2017,Hydro,44753.42,1142.9,,721.15,1359.6,1210.5,3291.25,7.35,41462.17,32130.69,31809.38,76.72,71.08,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017",20170910,2017-09-10
India,2017,Sep-2017,10-Sep-2017,Thermal_Diesel,837.63,,,0,0,0,0,0,837.63,46.05,45.13,5.39,5.39,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017",20170910,2017-09-10
India,2017,Sep-2017,10-Sep-2017,Thermal_Coal Lignite,193276.5,5814,12540,9719,49345.5,0,59064.5,30.56,134212,141185.96,128479.22,95.73,66.47,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017",20170910,2017-09-10
India,2017,Sep-2017,11-Sep-2017,Hydro,44753.42,1142.9,,851.15,1549.6,1336.5,3737.25,8.35,41016.17,34492.57,34147.64,83.25,76.3,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017",20170911,2017-09-11
India,2017,Sep-2017,11-Sep-2017,Thermal_Diesel,837.63,,,0,0,0,0,0,837.63,46.05,45.13,5.39,5.39,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017",20170911,2017-09-11
India,2017,Sep-2017,11-Sep-2017,Nuclear,6780,540,,1140,1640,0,2780,41,4000,4238.2,3750.81,93.77,55.32,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017",20170911,2017-09-11
India,2017,Sep-2017,11-Sep-2017,Thermal_Coal Lignite,193276.5,5814,12540,10509,48953,0,59462,30.77,133814.5,142433.35,129614.35,96.86,67.06,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017",20170911,2017-09-11
India,2017,Sep-2017,12-Sep-2017,Thermal_Coal Lignite,193276.5,5814,12540,10459,50820.5,0,61279.5,31.71,131997,141903.19,129131.9,97.83,66.81,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017",20170912,2017-09-12
India,2017,Sep-2017,12-Sep-2017,Hydro,44753.42,1142.9,,631.15,1594.1,1170.17,3395.42,7.59,41358,34883.02,34534.19,83.5,77.17,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017",20170912,2017-09-12
India,2017,Sep-2017,12-Sep-2017,Thermal_Gas Liquid,25130.88,3472.3,,0,80,9210.36,9290.36,36.97,15840.52,10829.11,10612.53,67,42.23,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017",20170912,2017-09-12
India,2017,Sep-2017,12-Sep-2017,Nuclear,6780,540,,1360,1640,0,3000,44.25,3780,4252.2,3763.2,99.56,55.5,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017",20170912,2017-09-12
India,2017,Sep-2017,14-Sep-2017,Thermal_Coal Lignite,193276.5,5814,12540,9724,51768,0,61492,31.82,131784.5,141760.6,129002.15,97.89,66.74,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017",20170914,2017-09-14
India,2017,Sep-2017,14-Sep-2017,Thermal_Diesel,837.63,,,0,0,0,0,0,837.63,46.05,45.13,5.39,5.39,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017",20170914,2017-09-14
India,2017,Sep-2017,15-Sep-2017,Thermal_Coal Lignite,193276.5,5814,12540,9724,50303,0,60027,31.06,133249.5,141401.12,128675.02,96.57,66.58,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017",20170915,2017-09-15
India,2017,Sep-2017,15-Sep-2017,Hydro,44753.42,1133.9,,721.15,1438.1,1436.84,3596.09,8.04,41157.33,31531.3,31215.99,75.85,69.75,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017",20170915,2017-09-15
India,2017,Sep-2017,15-Sep-2017,Nuclear,6780,540,,1360,1640,0,3000,44.25,3780,4071,3602.84,95.31,53.14,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017",20170915,2017-09-15
India,2017,Sep-2017,15-Sep-2017,Thermal_Gas Liquid,25130.88,3472.3,,0,80,9180.76,9260.76,36.85,15870.12,11784.34,11548.65,72.77,45.95,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017",20170915,2017-09-15
India,2017,Sep-2017,16-Sep-2017,Hydro,44753.42,1133.9,,611.15,1303.6,1716.84,3631.59,8.11,41121.83,29609.64,29313.54,71.28,65.5,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017",20170916,2017-09-16
India,2017,Sep-2017,16-Sep-2017,Nuclear,6780,540,,1360,1640,0,3000,44.25,3780,4070,3601.95,95.29,53.13,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017",20170916,2017-09-16
India,2017,Sep-2017,16-Sep-2017,Thermal_Gas Liquid,25130.88,3472.3,,0,80,9066.86,9146.86,36.4,15984.02,10966.31,10746.98,67.24,42.76,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017",20170916,2017-09-16
India,2017,Sep-2017,16-Sep-2017,Thermal_Coal Lignite,193276.5,5814,12540,9674,48813,0,58487,30.26,134789.5,144080.52,131113.27,97.27,67.84,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017",20170916,2017-09-16
India,2017,Sep-2017,16-Sep-2017,Thermal_Diesel,837.63,,,0,0,0,0,0,837.63,46.05,45.13,5.39,5.39,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017",20170916,2017-09-16
India,2017,Sep-2017,17-Sep-2017,Nuclear,6780,540,,1360,1640,0,3000,44.25,3780,4113,3640.01,96.3,53.69,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017",20170917,2017-09-17
India,2017,Sep-2017,17-Sep-2017,Thermal_Gas Liquid,25130.88,3472.3,,0,80,9066.86,9146.86,36.4,15984.02,10253.29,10048.22,62.86,39.98,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017",20170917,2017-09-17
India,2017,Sep-2017,17-Sep-2017,Hydro,44753.42,1133.9,,691.15,1343.1,1865.17,3899.42,8.71,40854,28162.76,27881.13,68.25,62.3,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017",20170917,2017-09-17
