ROWID,Calendar Day,Type of power generation,Monitored capacity,Capacity under long outage,New capacity under stabilization or completion of balance works,Capacity of power generation from prime movers (pm),Capacity of power generation from fuel oil (fo),Capacity of power generation from other sources,Total capacity of power generation from all sources,Capacity outage as percent of monitered,Operational capacity of power generation,Gross sum of maximum power generated,Net sum of maximum power generated,Maximum power output as percentage of capacity on line,Percentage of monitered maximum power output
8627,2017-09-01,Hydro,44753.42,1082.9,,1162.65,1771.2,941.5,3875.35,8.66,40878.07,30133.87,29832.53,72.98,66.66
8798,2017-09-01,Thermal_Coal Lignite,193466.5,5814.0,12180.0,9569.0,60638.0,0.0,70207.0,36.29,123259.5,130683.16,118921.68,96.48,61.47
2619,2017-09-01,Nuclear,6780.0,540.0,,1140.0,1640.0,0.0,2780.0,41.0,4000.0,4297.3,3803.11,95.08,56.09
1970,2017-09-01,Thermal_Diesel,837.63,,,0.0,0.0,0.0,0.0,0.0,837.63,46.05,45.13,5.39,5.39
6468,2017-09-01,Thermal_Gas Liquid,25130.88,3472.3,,0.0,80.0,9863.16,9943.16,39.57,15187.72,9801.56,9605.53,63.25,38.22
6560,2017-09-02,Thermal_Gas Liquid,25130.88,3472.3,,0.0,80.0,9489.16,9569.16,38.08,15561.72,9307.97,9121.81,58.62,36.3
8796,2017-09-02,Thermal_Coal Lignite,193466.5,5814.0,12180.0,9069.0,61368.0,0.0,70437.0,36.41,123029.5,132097.12,120208.38,97.71,62.13
2620,2017-09-02,Nuclear,6780.0,540.0,,1140.0,1640.0,0.0,2780.0,41.0,4000.0,4321.3,3824.35,95.61,56.41
8628,2017-09-02,Hydro,44753.42,1142.9,,1162.65,1597.2,1115.0,3874.85,8.66,40878.57,29912.08,29612.96,72.44,66.17
1971,2017-09-02,Thermal_Diesel,837.63,,,0.0,0.0,0.0,0.0,0.0,837.63,46.05,45.13,5.39,5.39
6737,2017-09-03,Thermal_Gas Liquid,25130.88,216.0,,0.0,0.0,0.0,0.0,0.0,25130.88,8764.7,8589.41,34.18,34.18
10765,2017-09-03,Thermal_Diesel,837.63,,,,,,,,,46.05,45.13,,5.39
10770,2017-09-03,Nuclear,6780.0,,,,,,,,,4297.3,3803.11,,56.09
10750,2017-09-03,Thermal_Coal Lignite,193466.5,2165.0,12180.0,1860.0,12340.0,0.0,14200.0,7.34,179266.5,128313.86,116765.61,65.14,60.35
8747,2017-09-03,Hydro,44753.42,156.4,,63.4,188.0,108.0,359.4,0.8,44394.02,30004.33,29704.29,66.91,66.37
10766,2017-09-04,Thermal_Diesel,837.63,,,,,,,,,46.05,45.13,,5.39
8748,2017-09-04,Hydro,44753.42,156.4,,63.4,188.0,108.0,359.4,0.8,44394.02,31901.93,31582.91,71.14,70.57
10771,2017-09-04,Nuclear,6780.0,,,,,,,,,4268.3,3777.45,,55.71
6733,2017-09-04,Thermal_Gas Liquid,25130.88,216.0,,0.0,0.0,324.0,324.0,1.29,24806.88,9448.92,9259.94,37.33,36.85
10695,2017-09-04,Thermal_Coal Lignite,193466.5,2165.0,12180.0,2875.0,20770.0,210.0,23855.0,12.33,169611.5,132472.36,120549.85,71.07,62.31
10705,2017-09-05,Thermal_Coal Lignite,192916.5,2165.0,12180.0,3085.0,19315.0,0.0,22400.0,11.61,170516.5,134970.93,122823.55,72.03,63.67
10767,2017-09-05,Thermal_Diesel,837.63,,,,,,,,,46.05,45.13,,5.39
8745,2017-09-05,Hydro,44753.42,156.4,,63.4,231.0,176.67,471.07,1.05,44282.35,32649.77,32323.27,72.99,72.23
10772,2017-09-05,Nuclear,6780.0,,,,,,,,,4270.5,3779.39,,55.74
6734,2017-09-05,Thermal_Gas Liquid,25130.88,216.0,,0.0,0.0,324.0,324.0,1.29,24806.88,8456.72,8287.59,33.41,32.98
8588,2017-09-06,Hydro,44753.42,1142.9,,886.15,1330.27,1905.17,4121.59,9.21,40631.83,32902.77,32573.74,80.17,72.78
2621,2017-09-06,Nuclear,6780.0,540.0,,1140.0,1640.0,0.0,2780.0,41.0,4000.0,4285.0,3792.22,94.81,55.93
9002,2017-09-06,Thermal_Coal Lignite,193276.5,5814.0,12540.0,10429.0,52873.0,0.0,63302.0,32.75,129974.5,137119.16,124778.44,96.0,64.56
6546,2017-09-06,Thermal_Gas Liquid,25130.88,3472.3,,0.0,80.0,9530.36,9610.36,38.24,15520.52,9828.52,9631.95,62.06,38.33
1972,2017-09-06,Thermal_Diesel,837.63,,,0.0,0.0,0.0,0.0,0.0,837.63,46.05,45.13,5.39,5.39
